SpType,H-K,M_K
O9V  ,-0.071,-3.20
O9.5V,-0.069,-3.12
B0V  ,-0.067,-3.04
B0.5V,-0.063,-2.69
B1V  ,-0.059,-2.23
B1.5V,-0.047,-2.05
B2V  ,-0.032,-1.10
B2.5V,-0.026,-0.86
B3V  ,-0.021,-0.61
B4V  ,-0.016,-0.55
B5V  ,-0.013,-0.48
B6V  ,-0.007,-0.14
B7V  ,-0.004,-0.08
B8V  , 0.003, 0.05
B9V  , 0.016, 0.82
B9.5V, 0.021, 0.85
A0V  , 0.028, 1.07
A1V  , 0.031, 1.24
A2V  , 0.034, 1.29
A3V  , 0.034, 1.32
A4V  , 0.037, 1.41
A5V  , 0.038, 1.44
A6V  , 0.038, 1.46
A7V  , 0.040, 1.54
A8V  , 0.042, 1.66
A9V  , 0.043, 1.66
F0V  , 0.045, 1.76
F1V  , 0.047, 1.96
F2V  , 0.050, 2.07
F3V  , 0.051, 2.12
F4V  , 0.052, 2.21
F5V  , 0.054, 2.32
F6V  , 0.057, 2.52
F7V  , 0.060, 2.63
F8V  , 0.061, 2.72
F9V  , 0.063, 2.81
G0V  , 0.067, 3.01
G1V  , 0.068, 3.04
G2V  , 0.073, 3.20
G3V  , 0.074, 3.27
G4V  , 0.075, 3.32
G5V  , 0.076, 3.35
G6V  , 0.079, 3.44
G7V  , 0.080, 3.47
G8V  , 0.082, 3.55
G9V  , 0.087, 3.69
K0V  , 0.091, 3.81
K0.5V, 0.092, 3.82
K1V  , 0.094, 3.87
K1.5V, 0.096, 3.90
K2V  , 0.098, 4.04
K2.5V, 0.104, 4.07
K3V  , 0.109, 4.16
K3.5V, 0.118, 4.21
K4V  , 0.125, 4.25
K4.5V, 0.127, 4.26
K5V  , 0.132, 4.48
K5.5V, 0.139, 4.57
K6V  , 0.148, 4.66
K6.5V, 0.159, 4.78
K7V  , 0.162, 4.82
K8V  , 0.176, 4.98
K9V  , 0.184, 5.11
M0V  , 0.193, 5.22
M0.5V, 0.208, 5.36
M1V  , 0.225, 5.67
M1.5V, 0.228, 5.85
M2V  , 0.234, 6.06
M2.5V, 0.244, 6.27
M3V  , 0.252, 6.54
M3.5V, 0.269, 7.19
M4V  , 0.282, 7.55
M4.5V, 0.301, 7.93
M5V  , 0.311, 8.36
M5.5V, 0.329, 9.01
M6V  , 0.352, 9.32
M6.5V, 0.364, 9.47
M7V  , 0.386, 9.76
M7.5V, 0.422, 9.97
M8V  , 0.450,10.11
M8.5V, 0.470,10.22
M9V  , 0.480,10.30
M9.5V, 0.505,10.45





























